ID,Case Name,Case Number,Country of Prosecution,Court,Date,Year,Country of Commission,Crimes Charged,Jurisdictional Basis,Jurisdiction Type,Outcome,Outcome Type,Corporate Defendant,Original Language,Specialized Unit,Summary,Key Legal Findings,Decision Link,NGOs,Victims Organizations,Legal Representatives,TRIAL International,UJAR,CFJ Tool,Amnesty,Judicial Decisions Count,Additional Sources
anwar-raslan,Anwar Raslan,3 StE 2/21,Germany,Higher Regional Court of Koblenz,2022-01-13,2022,Syria,Crimes against humanity; Murder; Torture; Sexual violence,Universal jurisdiction,criminal,Life imprisonment,conviction,No,German,ZBKV (Central Office for Combating War Crimes),"Anwar Raslan, a former colonel in the Syrian intelligence services, was convicted of crimes against humanity including murder of 27 persons, torture of at least 4,000 detainees, sexual assault, and deprivation of liberty. The trial, which began in April 2020, was the world's first criminal trial addressing state-sponsored torture by the Assad regime. The court found that Raslan supervised Branch 251 of the General Intelligence Directorate in Damascus between April 2011 and September 2012, where systematic torture and killings occurred. The judgment was a landmark in international criminal justice, demonstrating the potential of universal jurisdiction to address atrocities where territorial courts cannot act. Witness testimony from survivors was central to the prosecution's case. The verdict was upheld on appeal by the Federal Court of Justice in 2023.",Crimes against humanity — widespread and systematic attack | Command responsibility | Immunity not applicable | Victims' participation rights,https://olgko.justiz.rlp.de/service/pressemitteilungen/detail/oberlandesgericht-koblenz-lebenslangehaft-im-staatsfolter-prozess,ECCHR (https://www.ecchr.eu); Syrian Archive (https://syrianarchive.org); FIDH (https://www.fidh.org),Caesar Files Group; Syrian Center for Media and Freedom of Expression,,https://trialinternational.org/latest-post/anwar-raslan/,https://trialinternational.org/resources/ujar/,,,3,"SJAC Trial Monitoring: https://syriaaccountability.org/trial-monitoring/ | SJAC Trial Report #58 — Raslan verdict in detail: https://syriaaccountability.org/updates/2022/01/13/trial-report-58/ | ECCHR — Anwar R. Case: https://www.ecchr.eu/en/case/anwar-r/ | ECCHR/HRW Koblenz Compendium (indictments, testimonies, verdicts): https://www.ecchr.eu/en/case/anwar-r/#compendium | Library of Congress — BGH 2024 ruling analysis: https://www.loc.gov/item/global-legal-monitor/2024-09-15/germany-federal-court-of-justice-upholds-conviction-of-former-syrian-intelligence-officer/ | IIIM EN/AR translations — Al-Gharib judgment: https://www.legal-tools.org/doc/x8bfc2/ | Amnesty France — Compétence universelle: https://competenceuniverselle.amnesty.fr/ | UJAR 2025: https://trialinternational.org/universal-jurisdiction-tools/universal-jurisdiction-annual-review-ujar/ | TRIAL UJIM: https://trialinternational.org/resources/universal-jurisdiction-tools/ | Eurojust — Core International Crimes Database: https://www.eurojust.europa.eu/national-jurisprudence-database-core-international-crimes | Justice Beyond Borders (CFJ): https://justicebeyondborders.org | ICC Legal Tools Database — Koblenz decisions: https://www.legal-tools.org | ICD — International Crimes Database: https://www.internationalcrimesdatabase.org"
kunti-kamara,Kunti Kamara,21/0006,France,Paris Assize Court,2022-11-02,2022,Liberia,Complicity in crimes against humanity; Torture; Acts of barbarism,Universal jurisdiction,criminal,Life imprisonment,conviction,No,French,,"Kunti Kamara, a former ULIMO faction commander during the first Liberian civil war, was found guilty of complicity in crimes against humanity including torture, acts of barbarism, and forced labor committed in Lofa County, Liberia, in 1993–1994. This was the first trial in France addressing crimes committed during the Liberian civil wars. The prosecution relied heavily on witness testimony from Liberian victims and community members. Civitas Maxima and the Global Justice and Research Project played a central role in the investigation and victim support. The trial highlighted the importance of universal jurisdiction in addressing impunity for crimes committed in conflict zones where domestic accountability mechanisms remain absent.",Crimes against humanity — widespread and systematic | Complicity liability | Witness protection measures,https://www.courdecassation.fr,Civitas Maxima (https://www.civitas-maxima.org); FIDH (https://www.fidh.org),Global Justice and Research Project,,https://trialinternational.org/latest-post/kunti-kamara/,https://trialinternational.org/resources/ujar/,,,2,Civitas Maxima — Kamara Case: https://civitas-maxima.org/cases/ | UJAR 2025: https://trialinternational.org/universal-jurisdiction-tools/universal-jurisdiction-annual-review-ujar/ | Amnesty France — Compétence universelle: https://competenceuniverselle.amnesty.fr/ | TRIAL UJIM: https://trialinternational.org/resources/universal-jurisdiction-tools/ | Justice Beyond Borders (CFJ): https://justicebeyondborders.org
hissene-habre,Hissène Habré,EAC/2016,Senegal,Extraordinary African Chambers,2016-05-30,2016,Chad,Crimes against humanity; War crimes; Torture; Sexual violence,Universal jurisdiction,criminal,Life imprisonment,conviction,No,French,,"Former Chadian president Hissène Habré was convicted by the Extraordinary African Chambers in Dakar of crimes against humanity, war crimes, and torture committed during his rule from 1982 to 1990. An estimated 40,000 people were killed under his regime. The trial was historic as the first time a former head of state was tried by an African court for human rights crimes. The case was the result of a decades-long campaign by victims and human rights organizations, particularly Human Rights Watch and the Association of Victims of Crimes of the Habré Regime (AVCRHH). The conviction was upheld on appeal in 2017. The case established important precedent regarding head-of-state immunity and the obligation to prosecute or extradite under the Convention Against Torture.",Head-of-state immunity — no bar to prosecution | Aut dedere aut judicare | Sexual violence as crime against humanity | Victims' reparations,https://www.chambresafricaines.org,Human Rights Watch (https://www.hrw.org); FIDH (https://www.fidh.org); CJA (https://cja.org),AVCRHH — Association of Victims of Crimes of the Habré Regime,,https://trialinternational.org/latest-post/hissene-habre/,,,,9,UJAR 2025: https://trialinternational.org/universal-jurisdiction-tools/universal-jurisdiction-annual-review-ujar/ | TRIAL UJIM: https://trialinternational.org/resources/universal-jurisdiction-tools/ | HRW — Habré Case: https://www.hrw.org/tag/hissene-habre | Justice Beyond Borders (CFJ): https://justicebeyondborders.org
lafarge-syria,Lafarge S.A.,19-87.367,France,Paris Judicial Court (Investigating judges),2024-05-15,2024,Syria,Complicity in crimes against humanity; Financing of terrorism; Endangering lives,Active personality,criminal,Ongoing (trial scheduled),ongoing,Yes,French,OCLCH (Office central de lutte contre les crimes contre l'humanité),"French multinational cement company Lafarge (now part of Holcim) was indicted for complicity in crimes against humanity for its operations in northern Syria between 2012 and 2014. The company allegedly paid millions of euros to armed groups, including ISIS, to keep its Jalabiya cement plant operational during the Syrian conflict. In 2019, the Court of Cassation confirmed that a corporation can be charged with complicity in crimes against humanity under French law — a groundbreaking decision. Several former Lafarge executives have also been indicted. The case is the first time a major multinational corporation faces charges of complicity in crimes against humanity, setting a historic precedent for corporate accountability in conflict zones.",Corporate criminal liability for international crimes | Complicity through financial support | Crimes against humanity — corporate context,https://www.courdecassation.fr,ECCHR (https://www.ecchr.eu); Sherpa (https://www.asso-sherpa.org),Syrian former employees,,,,,,0,ECCHR — Lafarge Case: https://www.ecchr.eu/en/case/lafarge-in-syria/ | SJAC — Corporate Accountability: https://syriaaccountability.org/ | UJAR 2025: https://trialinternational.org/universal-jurisdiction-tools/universal-jurisdiction-annual-review-ujar/ | Amnesty France — Compétence universelle: https://competenceuniverselle.amnesty.fr/ | Sherpa — Lafarge Dossier: https://www.asso-sherpa.org/lafarge
rwanda-simbikangwa,Pascal Simbikangwa,14/0085,France,Paris Assize Court,2014-03-14,2014,Rwanda,Complicity in genocide; Complicity in crimes against humanity,Universal jurisdiction,criminal,25 years imprisonment,conviction,No,French,OCLCH,"Pascal Simbikangwa, a former Rwandan intelligence chief, became the first person convicted in France for involvement in the 1994 Rwandan genocide. He was found guilty of complicity in genocide and crimes against humanity for his role in arming and directing Interahamwe militias during the genocide. The trial was a milestone for France's universal jurisdiction framework and highlighted the role of the OCLCH (Office central de lutte contre les crimes contre l'humanité). His sentence was increased to 25 years on appeal. The case opened the door for subsequent trials in France related to the Rwandan genocide, including those of Octavien Ngenzi and Tito Barahira.",Complicity in genocide | Universal jurisdiction application in France | Witness testimony from Rwanda,https://www.legifrance.gouv.fr/juri/id/JURITEXT000034902360,FIDH (https://www.fidh.org); Ibuka (https://ibuka.fr),Ibuka; CPCR (Collectif des parties civiles pour le Rwanda),,https://trialinternational.org/latest-post/pascal-simbikangwa/,https://trialinternational.org/resources/ujar/,,,4,"CPCR — Collectif des parties civiles pour le Rwanda (chroniques d audience, arrêts, lettres de motivation): https://www.collectifpartiescivilesrwanda.fr/proces/ | UJAR 2025: https://trialinternational.org/universal-jurisdiction-tools/universal-jurisdiction-annual-review-ujar/ | Amnesty France — Compétence universelle: https://competenceuniverselle.amnesty.fr/ | TRIAL UJIM: https://trialinternational.org/resources/universal-jurisdiction-tools/ | Eurojust — Core International Crimes Database: https://www.eurojust.europa.eu/national-jurisprudence-database-core-international-crimes"
dutch-mh17,MH17 Trial (Girkin et al.),09/748003-19,Netherlands,The Hague District Court,2022-11-17,2022,Ukraine,Murder (298 counts); Causing the crash of flight MH17,Passive personality / Universal jurisdiction,criminal,"Life imprisonment (3 defendants, in absentia); 1 acquitted",conviction,No,Dutch,,"The MH17 trial concerned the downing of Malaysia Airlines Flight 17 over eastern Ukraine on July 17, 2014, killing all 298 people on board. Three defendants — Igor Girkin, Sergei Dubinsky, and Leonid Kharchenko — were convicted in absentia of murder and sentenced to life imprisonment. A fourth defendant, Oleg Pulatov, was acquitted. The court found that a Buk missile system was transported from Russia to eastern Ukraine and used to shoot down the passenger aircraft. The case was prosecuted under Dutch law as 196 of the 298 victims were Dutch nationals. The trial demonstrated the application of passive personality jurisdiction for mass atrocities.",Passive personality jurisdiction | In absentia trial | State responsibility implications | Evidence from conflict zones,https://www.rechtspraak.nl,,MH17 Foundation,,,,,,0,
sweden-iran-hamid-noury,Hamid Noury,B 15125555-19,Sweden,Stockholm District Court,2022-07-14,2022,Iran,Murder; Crimes against international law (grave breaches),Universal jurisdiction,criminal,Life imprisonment,conviction,No,Swedish,,"Hamid Noury, a former Iranian prison official, was convicted by the Stockholm District Court for his involvement in the mass execution of political prisoners in Iran in 1988. The trial was groundbreaking as the first international prosecution related to the 1988 prison massacres. Noury was arrested at Stockholm Arlanda Airport in November 2019 based on an arrest warrant. The court found that Noury actively participated in the executions at Gohardasht prison. The conviction was upheld on appe by the Svea Court of Appeal (19 December 2023) and the Supreme Court refused leave to appeal (6 March 2024). Noury was released via a prisoner swap with Iran in June 2024 before serving his sentenceal. The case was a landmark in accountability for the 1988 massacres, which Amnesty International has described as crimes against humanity, and demonstrated the reach of universal jurisdiction even decades after events. In June 2024, after the Supreme Court refused leave to appeal, Noury was released and returned to Iran in a prisoner exchange between Sweden and Iran.",Universal jurisdiction — temporal reach | Crimes against international law | Prescription not applicable | Extraterritorial arrest,https://www.domstol.se,Iran Human Rights (https://iranhr.net); Justice for Iran (https://justice4iran.org); Legal Action Worldwide (https://www.legalactionworldwide.org),Families of 1988 massacre victims,,https://trialinternational.org/latest-post/hamid-noury/,https://trialinternational.org/resources/ujar/,,,3,UJAR 2025: https://trialinternational.org/universal-jurisdiction-tools/universal-jurisdiction-annual-review-ujar/ | Atlantic Council — Far Reach of Justice: https://www.atlanticcouncil.org/in-depth-research-reports/report/how-to-hold-the-islamic-republic-of-iran-accountable-in-european-courts/ | TRIAL UJIM: https://trialinternational.org/resources/universal-jurisdiction-tools/ | Justice Beyond Borders (CFJ): https://justicebeyondborders.org
argentina-franco-era,Franco-era crimes (Querella Argentina),4591/2010,Argentina,"Federal Criminal Court No. 1, Buenos Aires",2010-04-14,2010,Spain,Crimes against humanity; Genocide; Torture; Enforced disappearance,Universal jurisdiction,criminal,Ongoing (investigation phase),ongoing,No,Spanish,,"The 'Querella Argentina' is a universal jurisdiction case opened in Argentina investigating crimes against humanity committed during the Spanish Civil War and Franco dictatorship (1936–1975). The case was filed by victims' associations after Spanish courts closed similar investigations. Argentine Judge María Servini de Cubría issued international arrest warrants for former Francoist officials. The case illustrates the reciprocal use of universal jurisdiction — Argentina applying the same principles that Spain's Judge Garzón had used in the Pinochet case. While extradition requests have been refused by Spain, the investigation continues and has helped document and acknowledge the suffering of victims of the Franco regime.",Universal jurisdiction reciprocity | Crimes against humanity — temporal scope | Enforced disappearance as continuing crime,,CEAQUA (https://www.ceaqua.org),Asociación para la Recuperación de la Memoria Histórica,,,,,,0,
palestine-uk-uj-complaint,UJ Complaints — Palestine (Various European States),Multiple,"Multiple (Germany, Netherlands, Belgium, UK, Sweden)",Various national courts,2024-01-15,2024,Palestine (Gaza),War crimes; Crimes against humanity; Genocide; Starvation as method of warfare,Universal jurisdiction,criminal,Ongoing (multiple complaints filed),ongoing,No,Multiple,,"Since October 2023, multiple universal jurisdiction complaints have been filed in European countries relating to crimes committed in Gaza. In Germany, the GBF (Generalbundesanwalt) received complaints from Palestinian rights organizations. In the Netherlands, complaints were filed regarding arms exports. In Belgium, filings targeted starvation as a method of warfare. Hind Rajab Foundation and other organizations have filed complaints in multiple jurisdictions targeting individual Israeli military officials. These cases test the willingness of European prosecutors to investigate crimes in Palestine with the same vigor applied to other situations.",Universal jurisdiction for Gaza crimes | Starvation as war crime | Arms export complicity | Structural investigations,,Al-Haq (https://www.alhaq.org); Hind Rajab Foundation (https://hindrajab.org); ECCHR (https://www.ecchr.eu); Adalah Justice Project (https://www.adalahjusticeproject.org),Palestinian Centre for Human Rights; Al Mezan Center for Human Rights,,,,,,0,
palestine-arms-uj,Arms Export Challenges (Palestine-related),Multiple,"Multiple (Netherlands, Italy, Canada, Denmark)",Various courts and administrative bodies,2024-06-01,2024,Palestine (Gaza),Complicity in war crimes; Violation of Arms Trade Treaty; Complicity in genocide,Universal jurisdiction / Administrative law,civil,Mixed — Dutch court ordered arms suspension; other cases ongoing,ongoing,No,Multiple,,"Multiple legal challenges have been brought in various countries to halt arms exports to Israel. In the Netherlands, the Court of Appeal in The Hague ordered the Dutch government to stop exporting F-35 fighter jet parts to Israel in February 2024, finding a 'clear risk' of violations of international humanitarian law. Similar cases have been filed in Italy, Canada, and Denmark. In Belgium, the Walloon region suspended arms export licenses. These cases combine universal jurisdiction principles, administrative law, and international trade law obligations under the Arms Trade Treaty. They represent an emerging frontier of accountability through supply chain liability.",Arms Trade Treaty obligations | Risk assessment for IHL violations | Corporate supply chain liability | State complicity through arms transfers,https://www.rechtspraak.nl,Oxfam Novib (https://www.oxfamnovib.nl); PAX (https://paxforpeace.nl); Al-Haq (https://www.alhaq.org),,,,,,,0,
doe-v-saravia,Doe v. Saravia,CV-03-2800,United States,"U.S. District Court, Eastern District of California",2006-09-03,2006,El Salvador,Extrajudicial killing; Crimes against humanity; Torture,Universal jurisdiction (ATS/TVPA),civil,$10 million default judgment,conviction,No,English,,"This civil case under the Alien Tort Statute (ATS) and Torture Victim Protection Act (TVPA) held former Salvadoran Air Force Captain Alvaro Rafael Saravia liable for the 1980 assassination of Archbishop Óscar Romero. The court found that Saravia acted under the direction of Roberto D'Aubuisson and organized the logistics of the assassination. CJA (Center for Justice and Accountability) represented the plaintiff. The $10 million default judgment, while largely symbolic, established a judicial record of the facts surrounding Romero's murder and demonstrated how civil universal jurisdiction under U.S. law can serve as an accountability mechanism for gross human rights violations committed abroad.",Alien Tort Statute application | TVPA civil liability | Extrajudicial killing — civil remedy | Default judgment — accountability record,https://cja.org/what-we-do/litigation/doe-v-saravia/,CJA (https://cja.org),,,,,,,0,
filartiga-v-pena-irala,Filártiga v. Peña-Irala,630 F.2d 876,United States,"U.S. Court of Appeals, Second Circuit",1980-06-30,1980,Paraguay,Torture; Wrongful death,Universal jurisdiction (ATS),civil,$10.4 million judgment,conviction,No,English,,The landmark Filártiga v. Peña-Irala case established civil universal jurisdiction in the United States under the Alien Tort Statute (ATS). The Second Circuit held that the ATS provides federal jurisdiction for civil suits brought by aliens for torts committed in violation of the law of nations. Joelito Filártiga was tortured and killed in Paraguay by Inspector General Peña-Irala in retaliation for his father's political opposition. CCR (Center for Constitutional Rights) brought the case after Peña-Irala was found living in New York. The decision opened the door for decades of human rights litigation in U.S. courts and is considered the foundational case for civil universal jurisdiction.,Alien Tort Statute — foundational interpretation | Torture violates law of nations | Civil universal jurisdiction established | Jus cogens norms,https://law.justia.com/cases/federal/appellate-courts/F2/630/876/,CCR (https://ccrjustice.org),,,,,,,2,
kiobel-v-shell,Kiobel v. Royal Dutch Petroleum,569 U.S. 108,United States,U.S. Supreme Court,2013-04-17,2013,Nigeria,Crimes against humanity; Torture; Extrajudicial killings; Arbitrary detention,Universal jurisdiction (ATS),civil,Dismissed (presumption against extraterritoriality),other,Yes,English,,"Nigerian plaintiffs alleged that Royal Dutch Petroleum (Shell) aided and abetted the Nigerian government in committing human rights abuses against the Ogoni people in the Niger Delta. The Supreme Court held that the presumption against extraterritoriality applies to the Alien Tort Statute and that claims must 'touch and concern' the territory of the United States with sufficient force. The decision significantly narrowed the scope of civil universal jurisdiction under the ATS. CCR and EarthRights International represented the plaintiffs. Despite the dismissal, the case prompted a parallel proceeding in the Netherlands and remains a key reference in corporate accountability litigation.",Presumption against extraterritoriality — ATS | Corporate liability limits under ATS | Touch and concern test | Corporate accountability in host states,https://supreme.justia.com/cases/federal/us/569/108/,CCR (https://ccrjustice.org); EarthRights International (https://earthrights.org),,,,,,,1,
argentina-plan-condor,Plan Cóndor Trial,1.613/2015,Argentina,"Federal Criminal Court No. 1, Buenos Aires",2016-05-27,2016,Argentina,Crimes against humanity; Enforced disappearance; Murder; Torture,Territorial / Universal jurisdiction,criminal,Multiple convictions (15 defendants convicted),conviction,No,Spanish,,"The Plan Cóndor trial in Buenos Aires addressed the coordinated campaign of political repression and state terror by the military dictatorships of South America (Argentina, Chile, Uruguay, Paraguay, Bolivia, Brazil) during the 1970s–1980s. Fifteen former military and intelligence officials were convicted of crimes against humanity including the enforced disappearance, torture, and murder of political opponents across borders. The trial was significant for documenting the transnational nature of Operation Condor and establishing criminal responsibility for cross-border repression. The case involved extensive cooperation with human rights organizations across Latin America.",Transnational crimes against humanity | Cross-border state repression | Enforced disappearance — continuing crime | Transitional justice,https://www.cij.gov.ar,CELS (https://www.cels.org.ar); FIDH (https://www.fidh.org),Madres de Plaza de Mayo; Abuelas de Plaza de Mayo,,,,,,0,
