Tribunal Acronym,Label,URL,Kind
IMT,Avalon Project — Nuremberg trial documents,https://avalon.law.yale.edu/subject_menus/imt.asp,archive
IMT,ICRC IHL — Nuremberg Judgment,https://ihl-databases.icrc.org/en/ihl-treaties/imt-charter-1945,docs
IMTFE,ICC Legal Tools — Tokyo Tribunal,https://www.legal-tools.org/en/browse/imtfe/,database
IMTFE,UVA Tokyo War Crimes Trial archive,https://imtfe.law.virginia.edu/,archive
NMT,Harvard Nuremberg Trials Project (NMT),https://nuremberg.law.harvard.edu/,database
NMT,Avalon — Subsequent proceedings,https://avalon.law.yale.edu/subject_menus/imtmenu.asp,archive
NMT-Drs,Harvard Doctors' Trial (NMT 1),https://nuremberg.law.harvard.edu/transcripts/1-transcript-for-nmt-1-medical-case,archive
NMT-Ein,Harvard Einsatzgruppen Trial (NMT 9),https://nuremberg.law.harvard.edu/transcripts/3-transcript-for-nmt-9-einsatzgruppen-case,archive
NMT-Min,Harvard Ministries Trial (NMT 11),https://nuremberg.law.harvard.edu/transcripts/4-transcript-for-nmt-11-ministries-case,archive
ICTY,ICTY — Cases database,https://www.icty.org/en/cases,database
ICTY,ICTY Court Records,https://ucr.irmct.org/,database
ICTR,ICTR — Cases database,https://unictr.irmct.org/en/cases,database
IRMCT,IRMCT — Cases,https://www.irmct.org/en/cases,database
IRMCT,Unified Court Records (UCR),https://ucr.irmct.org/,database
ICC,ICC — Cases,https://www.icc-cpi.int/cases,database
ICC,ICC Court Records,https://www.icc-cpi.int/court-record,database
ICC,ICC Legal Tools Database,https://www.legal-tools.org/,database
SPSC,UC Berkeley — SPSC case archive,https://www.law.berkeley.edu/research/human-rights-center/projects/east-timor/,archive
SPSC,ICC Legal Tools — East Timor SPSC,https://www.legal-tools.org/en/browse/east-timor/,database
Reg.64,ICC Legal Tools — UNMIK Reg. 64 panels,https://www.legal-tools.org/en/browse/kosovo/,database
SCSL / RSCSL,Residual Special Court for Sierra Leone,http://www.rscsl.org/,site
SCSL / RSCSL,RSCSL — Cases,http://www.rscsl.org/Cases.html,database
IHT,ICC Legal Tools — Iraqi High Tribunal,https://www.legal-tools.org/en/browse/iraq/,database
IHT,Case Western — IHT documents,https://law.case.edu/saddamtrial/,archive
WCC-BiH,Court of BiH — Section I (War Crimes),http://www.sudbih.gov.ba/?jezik=e,site
WCC-BiH,OSCE — BiH war crimes monitoring,https://www.osce.org/mission-to-bosnia-and-herzegovina/war-crimes,docs
ECCC,ECCC — Case load,https://www.eccc.gov.kh/en/case-load,database
ECCC,ECCC Court Documents,https://www.eccc.gov.kh/en/documents/court,database
STL,STL Legacy Website — Cases,https://www.stl-tsl.org/en/the-cases,database
EAC,Chambres africaines extraordinaires — archive,https://www.chambresafricaines.org/,site
EAC,ICC Legal Tools — EAC / Habré,https://www.legal-tools.org/en/browse/eac/,database
KSC,Kosovo Specialist Chambers — Cases,https://www.scp-ks.org/en/cases,database
KSC,KSC Court Records,https://repository.scp-ks.org/,database
SCC,Cour Pénale Spéciale (CPS-CAR),https://cps-rca.cf/,site
JEP,Jurisdicción Especial para la Paz,https://www.jep.gov.co/,site
JEP,JEP — Macro-cases (Macrocasos),https://www.jep.gov.co/macrocasos/,database
IIIM,IIIM — Syria,https://iiim.un.org/,site
UNITAD,UNITAD legacy site,https://www.unitad.un.org/,site
IIMM,IIMM — Myanmar,https://iimm.un.org/,site
IIMU,Commission of Inquiry on Ukraine,https://www.ohchr.org/en/hr-bodies/hrc/iicihr-ukraine/index,site
CIJA,CIJA — Commission for International Justice and Accountability,https://cijaonline.org/,site
STCoA,Council of Europe — Special Tribunal page,https://www.coe.int/en/web/special-tribunal-aggression-against-ukraine,site
Malabo,AU — Malabo Protocol (text),https://au.int/en/treaties/protocol-amendments-protocol-statute-african-court-justice-and-human-rights,docs
CAH-Conv,ILC — Draft articles on crimes against humanity,https://legal.un.org/ilc/texts/7_7.shtml,docs
Sudan-TJ,Juba Peace Agreement (UN Peacemaker),https://peacemaker.un.org/sudan-juba-agreement2020,docs
