ID,Acronym,Name,Category,Status,Location,Parent / Creator,Period,Start Year,End Year,Jurisdiction,Jurisdiction Note,Head of State Immunity,In Absentia,Victim Participation,Creation,Landmark Case,Key Cases,Stats,Note,Legal Basis
1,IMT,International Military Tribunal — Nuremberg,WW2,closed,"Nuremberg, Germany","Allied Powers (US, UK, USSR, France)",Nov 1945 – Oct 1946,1945,1946,Crimes against peace; War crimes; Crimes against humanity,First codification of individual criminal responsibility under international law.,No,Yes (Bormann tried in absentia),No,Allied Powers — London Charter,Göring et al. — established individual responsibility under international law; no head of state immunity; superior orders not a defence. Foundation of all ICL.,"22 defendants incl. Göring, Ribbentrop, Keitel, Hess, Speer, Dönitz. 12 death sentences. Göring suicide before execution. Bormann tried in absentia.",22 defendants; 12 death sentences; 3 acquittals,Foundational moment for international criminal law. Nuremberg Principles adopted by UNGA 1950. First legal use of 'crimes against humanity'. Rejected both head of state immunity and superior orders defence.,"London Charter (8 Aug 1945) · Nuremberg Principles (UNGA Res. 95(I), 1946)"
2,IMTFE,International Military Tribunal for the Far East — Tokyo,WW2,closed,"Tokyo, Japan","Allied Powers (US-led, SCAP)",May 1946 – Nov 1948,1946,1948,Crimes against peace; War crimes; Crimes against humanity,Emperor Hirohito shielded for political reasons — foundational legitimacy problem.,Yes (shielded),No,No,Allied Powers — US Military Proclamation,Tojo Hideki conviction — aggressive war confirmed as international crime; but Emperor Hirohito's immunity poisoned legitimacy from the start.,"28 defendants. 7 death sentences incl. Tojo, Hirota, Doihara. Classes A (crimes against peace), B (war crimes), C (crimes against humanity).",28 defendants; 7 death sentences; 25 convicted,More contested than Nuremberg. Emperor Hirohito granted immunity for political reasons. No charge of sexual slavery/comfort women. Dissent by Judge Pal (India) — foundational critique of victor's justice.,"Tokyo Charter (Special Proclamation by General MacArthur, 19 Jan 1946)"
3,NMT,Subsequent Nuremberg Proceedings (Nuremberg Military Tribunals),WW2,closed,"Nuremberg, Germany",US Military Government — Control Council Law No. 10,Dec 1946 – Apr 1949,1946,1949,War crimes; Crimes against humanity; Membership in criminal organisation,"12 separate trials. First prosecution of medical professionals, industrialists, lawyers for international crimes.",No,No,No,US Military — Control Council Law No. 10,Doctors' Trial (NMT Case 1) → Nuremberg Code (1947) — foundation of all medical research ethics worldwide. IG Farben Trial — first corporate complicity proceeding.,"Doctors' Trial (7 executed → Nuremberg Code); Einsatzgruppen Trial (14 death sentences, Ohlendorf); Ministries Trial (Weizsäcker); IG Farben; Krupp; Judges' Trial.",12 trials; 185 defendants; 24 death sentences; 142 convicted,"Extended Nuremberg to industrialists, medical experimenters, judges, SS administrators. Most death sentences commuted under Cold War pressure. Doctors' Trial → Nuremberg Code → Declaration of Helsinki (1964).",Control Council Law No. 10 (20 Dec 1945)
4,ICTY,International Criminal Tribunal for the former Yugoslavia,ADHOC,closed,"The Hague, Netherlands",UN Security Council,1993–2017,1993,2017,Genocide; Crimes against humanity; War crimes; Grave breaches of 1949 Geneva Conventions,First international criminal court since WWII. Temporal: 1991–. Territorial: former Yugoslavia.,No,No,Limited (witness/victim status only),UN Security Council — Chapter VII,Krstić (2001) — first international judgment confirming Srebrenica as genocide. Kunarac (2001) — rape and sexual slavery as standalone war crimes and crimes against humanity.,"Milošević (died in custody 2006), Karadžić (40yr), Mladić (life), Gotovina (acquitted on appeal), Tadić (first case), Krstić (genocide/Srebrenica).",161 indicted; 90 convicted; 19 acquitted; 13 referred to national,First international criminal tribunal since WWII. Established rape as crime against humanity (Furundžija); genocide in Srebrenica (Krstić); JCE doctrine; command responsibility standards. Milošević: first sitting head of state indicted.,UNSC Res. 827 (25 May 1993) · ICTY Statute
5,ICTR,International Criminal Tribunal for Rwanda,ADHOC,closed,"Arusha, Tanzania",UN Security Council,1994–2015,1994,2015,Genocide; Crimes against humanity; War crimes (Common Article 3 and AP II),First international tribunal created specifically to prosecute genocide. Temporal: 1 Jan – 31 Dec 1994.,No,No,Limited,UN Security Council — Chapter VII,Akayesu (1998) — first ever international conviction for genocide. Established rape as act of genocide. First definition of rape under international law.,"Akayesu (first genocide conviction, 1998); Kambanda (first head of government to plead guilty to genocide); Bagosora (life); Nahimana/RTLM (incitement via mass media).",93 indicted; 62 convicted; 14 acquitted,First international genocide conviction (Akayesu 1998). Established rape as act of genocide; incitement through mass media (Nahimana). Criticised for failing to prosecute RPF crimes.,UNSC Res. 955 (8 Nov 1994) · ICTR Statute
6,IRMCT,International Residual Mechanism for Criminal Tribunals,ADHOC,active,The Hague (ICTY branch) & Arusha (ICTR branch),UN Security Council,2010 – ongoing,2010,,Residual functions of ICTY and ICTR,"Appellate jurisdiction, fugitive tracking, sentence enforcement supervision, witness protection.",No,No,Limited,UN Security Council — Chapter VII,"Kabuga arrest (2020) — RTLM genocide radio founder arrested in Paris at 84, oldest genocide suspect to face international trial. Mladić life sentence affirmed (2021).","Mladić appeal (life affirmed, 2021); Stanišić & Simatović retrial (convicted 2021); Félicien Kabuga (arrested 2020, trial ongoing).",1 active trial (Kabuga); 2 branches; 18 sentence enforcement states,Created for residual functions too important to abandon. Tracks remaining fugitives. Supervises sentence enforcement in 18 states.,UNSC Res. 1966 (22 Dec 2010) · IRMCT Statute
7,ICC,International Criminal Court,PERM,active,"The Hague, Netherlands",Assembly of States Parties (124 states parties),2002 – ongoing,2002,,Genocide; Crimes against humanity; War crimes; Crime of aggression (2018),Complementarity principle. Temporal: from 1 July 2002. Crime of aggression activated 2018.,No (Art. 27 — irrelevance of official capacity),No,Victims participants (Art. 68),Multilateral treaty — Rome Statute,Putin arrest warrant (March 2023) — first warrant against a permanent UNSC member head of state. Lubanga (2012) — first ICC conviction + first reparations orders in international history.,"Lubanga (first conviction 2012), Al-Mahdi (Timbuktu, 2016), Ntaganda (18yr, 2019), Ongwen (25yr, 2021), Putin + Lvova-Belova (March 2023), Netanyahu + Gallant (Nov 2024).",124 states parties; 17 situations; 30+ cases; 10 convictions,Only permanent international criminal court. Complementarity. No head of state immunity (Art. 27). Full victim participation (Art. 68) and reparations (Art. 75). Netanyahu/Gallant — first democratic state leader. Putin — first UNSC P5 head of state.,"Rome Statute (adopted 17 Jul 1998, in force 1 Jul 2002)"
8,SPSC,Special Panels for Serious Crimes — East Timor,HYB,closed,"Dili, Timor-Leste",UNTAET / Timorese Government,2000–2005,2000,2005,Genocide; Crimes against humanity; War crimes; Domestic serious crimes,Temporal: 1 Jan – 25 Oct 1999. Indonesian occupation and 1999 referendum violence.,N/A,No,Limited,UN Transitional Administration — UNTAET,Emblematic impunity gap — Wiranto indicted but no extradition obtained. Zero accountability for those most responsible. Model for what not to do in hybrid court design.,Wiranto (Indonesian general) indicted — no extradition. 87 convictions largely low-level. Joni Marques (9 convicted).,95 indicted; 87 convicted; 0 senior Indonesians tried,Major structural failure: Indonesia refused extradition of senior officers. Heavily under-resourced. CAVR truth commission ran parallel. No accountability for those most responsible.,UNTAET Reg. 2000/11 and 2000/15 · UNSC Res. 1272 (1999)
9,Reg.64,Regulation 64 Panels — Kosovo (UNMIK),HYB,closed,"Pristina, Kosovo",UNMIK,2000–2008,2000,2008,War crimes; Crimes against humanity; Serious crimes,Mixed panels: international + Kosovo judges. Political sensitivity around KLA prosecutions.,N/A,No,Limited,UN Mission — UNMIK Regulation,"Demonstrated limits of internationalized panels under UN mission — KLA crimes largely unaddressed, directly necessitating the later Kosovo Specialist Chambers.",War crimes and post-conflict ethnically motivated crimes. Limited KLA accountability. Succeeded by KSC.,~100 cases; 2000–2008 operational,International judges brought in for impartiality — particularly KLA cases. Persistent politicisation. Laid groundwork for KSC.,UNMIK Reg. 2000/6 and 2000/64
10,SCSL / RSCSL,Special Court for Sierra Leone / Residual Special Court,HYB,residual,"Freetown, Sierra Leone / The Hague (RSCSL)",UN + Sierra Leone bilateral,2002–2013 (SCSL) / 2013–ongoing (RSCSL),2002,,Crimes against humanity; War crimes; Other serious violations of IHL,Temporal: 30 Nov 1996–. Personal: those bearing greatest responsibility.,No,No,Limited,Bilateral treaty — UN + Sierra Leone,Charles Taylor (2012) — first conviction of a former head of state by international tribunal since Nuremberg. Set global precedent that heads of state have no immunity post-tenure.,"Charles Taylor (50yr, upheld 2013 — first HoS conviction by international tribunal); AFRC, RUF, CDF trials.",22 indicted; 9 convicted; 2 died during proceedings; 50yr Taylor sentence upheld,"First international court to sit in the country where crimes occurred. Taylor conviction: first HoS conviction since Nuremberg. Pioneered prosecution of child soldiers, sexual slavery. No reparations jurisdiction.",Agreement between UN and Sierra Leone (16 Jan 2002) · UNSC Res. 1315 (2000)
